No,Code,Company Name,Listing Date,Shares,Listing Board
201,ETWA,Eterindo Wahanatama Tbk.,16 May 1997,"4,668,671,400",Watchlist
202,EXCL,XL Axiata Tbk.,29 Sep 2005,"13,128,430,665",Main
203,FAST,Fast Food Indonesia Tbk.,11 May 1993,"3,990,277,158",Development
204,FASW,Fajar Surya Wisesa Tbk.,19 Dec 1994,"2,477,888,787",Main
205,FISH,FKS Multi Agro Tbk.,18 Jan 2002,"480,000,000",Watchlist
206,FMII,Fortune Mate Indonesia Tbk.,30 Jun 2000,"3,120,999,633",Development
207,FORU,Fortune Indonesia Tbk.,17 Jan 2002,"465,224,000",Development
208,FPNI,Lotte Chemical Titan Tbk.,21 Mar 2002,"5,566,414,000",Development
209,FREN,Smartfren Telecom Tbk.,29 Nov 2006,"335,388,079,641",Main
210,GAMA,Aksara Global Development Tbk.,11 Jul 2012,"10,011,027,656",Watchlist
211,GDST,Gunawan Dianjaya Steel Tbk.,23 Dec 2009,"9,242,500,000",Development
212,GDYR,Goodyear Indonesia Tbk.,22 Dec 1980,"410,000,000",Main
213,GEMA,Gema Grahasarana Tbk.,12 Agt 2002,"1,600,000,000",Development
214,GEMS,Golden Energy Mines Tbk.,17 Nov 2011,"5,882,353,000",Main
215,GGRM,Gudang Garam Tbk.,27 Agt 1990,"1,924,088,000",Main
216,GIAA,Garuda Indonesia (Persero) Tbk.,11 Feb 2011,"91,480,783,837",Watchlist
217,GJTL,Gajah Tunggal Tbk.,08 May 1990,"3,484,800,000",Main
218,GLOB,Globe Kita Terang Tbk.,10 Jul 2012,"1,111,112,000",Watchlist
219,GMTD,Gowa Makassar Tourism Development Tbk.,11 Dec 2000,"101,538,000",Watchlist
220,GOLD,Visi Telekomunikasi Infrastruktur Tbk.,07 Jul 2010,"1,277,276,000",Development
221,GOLL,Golden Plantation Tbk.,23 Dec 2014,"3,665,000,759",Watchlist
222,GPRA,Perdana Gapuraprima Tbk.,10 Oct 2007,"4,276,655,336",Main
223,GSMF,Equity Development Investment Tbk.,23 Oct 1989,"14,230,399,705",Development
224,GTBO,Garda Tujuh Buana Tbk,09 Jul 2009,"2,500,000,000",Development
225,GWSA,Greenwood Sejahtera Tbk.,23 Dec 2011,"7,800,760,000",Main
226,GZCO,Gozco Plantations Tbk.,15 May 2008,"6,000,000,000",Main
227,HADE,Himalaya Energi Perkasa Tbk.,12 Apr 2004,"2,120,000,000",Watchlist
228,HDFA,Radana Bhaskara Finance Tbk.,10 May 2011,"6,542,445,783",Main
229,HDTX,Panasia Indo Resources Tbk.,06 Jun 1990,"3,601,462,800",Watchlist
230,HERO,Hero Supermarket Tbk.,21 Agt 1989,"4,183,634,000",Development
231,HEXA,Hexindo Adiperkasa Tbk.,13 Feb 1995,"840,000,000",Main
232,HITS,Humpuss Intermoda Transportasi Tbk.,15 Dec 1997,"7,101,084,801",Main
233,HMSP,H.M. Sampoerna Tbk.,15 Agt 1990,"116,318,076,900",Main
234,HOME,Hotel Mandarine Regency Tbk.,17 Jul 2008,"22,212,194,782",Watchlist
235,HOTL,Saraswati Griya Lestari Tbk.,10 Jan 2013,"3,550,001,452",Watchlist
236,HRUM,Harum Energy Tbk.,06 Oct 2010,"13,518,100,000",Main
237,IATA,MNC Energy Investments Tbk.,13 Sep 2006,"25,238,245,216",Development
238,IBFN,Intan Baru Prana Tbk.,22 Dec 2014,"1,517,332,349",Watchlist
239,IBST,Inti Bangun Sejahtera Tbk.,31 Agt 2012,"1,350,904,927",Watchlist
240,ICBP,Indofood CBP Sukses Makmur Tbk.,07 Oct 2010,"11,661,908,000",Main
241,ICON,Island Concepts Indonesia Tbk.,08 Jul 2005,"1,089,750,000",Development
242,IGAR,Champion Pacific Indonesia Tbk,05 Nov 1990,"972,204,500",Main
243,IIKP,Inti Agri Resources Tbk.,14 Oct 2002,"33,600,000,000",Watchlist
244,IKAI,Intikeramik Alamasri Industri Tbk.,04 Jun 1997,"13,305,799,387",Watchlist
245,IKBI,Sumi Indo Kabel Tbk.,21 Jan 1991,"1,224,000,000",Development
246,IMAS,Indomobil Sukses Internasional Tbk.,15 Nov 1993,"3,994,291,039",Main
247,INDR,Indo-Rama Synthetics Tbk.,03 Agt 1990,"654,351,707",Main
248,INDS,Indospring Tbk.,10 Agt 1990,"656,249,710",Main
249,INDX,Tanah Laut Tbk.,17 May 2001,"437,913,588",Development
250,INDY,Indika Energy Tbk.,11 Jun 2008,"5,210,192,000",Main
251,INKP,Indah Kiat Pulp & Paper Tbk.,16 Jul 1990,"5,470,982,941",Main
252,INPC,Bank Artha Graha Internasional Tbk.,23 Agt 1990,"20,021,178,779",Main
253,INPP,Indonesian Paradise Property Tbk.,12 Jan 2004,"11,181,971,732",Development
254,INRU,Toba Pulp Lestari Tbk.,18 Jun 1990,"1,388,883,283",Development
255,INTA,Intraco Penta Tbk.,23 Agt 1993,"3,343,935,022",Watchlist
256,INTD,Inter Delta Tbk.,18 Dec 1989,"591,828,000",Development
257,INTP,Indocement Tunggal Prakarsa Tbk.,05 Dec 1989,"3,681,231,699",Main
